system,strategy,technique,size_type,mre
Dune,ddbs,kNN,T3,0.16456107686936014
Dune,random,CART,T1,0.23543166595815979
Dune,random,CART,T2,0.16152151139560697
Dune,random,CART,T3,0.09319914417353578
Dune,random,KRR,T1,0.21353395078756665
Dune,random,KRR,T2,0.15939350234993296
Dune,random,KRR,T3,0.10404378896760294
Dune,random,MR,T1,0.2240887923715155
Dune,random,MR,T2,0.14628072160906538
Dune,random,MR,T3,0.10404679949597809
Dune,random,RF,T1,0.2186802584432103
Dune,random,RF,T2,0.15433022733973545
Dune,random,RF,T3,0.08944664395922003
Dune,random,SVR,T1,0.18326598616021733
Dune,random,SVR,T2,0.12903999448919087
Dune,random,SVR,T3,0.09147996105023867
Dune,random,kNN,T1,0.21409361431075558
Dune,random,kNN,T2,0.16470529293137973
Dune,random,kNN,T3,0.13225080697269104
Dune,rsbs,CART,T1,0.1934213463052629
Dune,rsbs,CART,T2,0.16126677584182095
Dune,rsbs,CART,T3,0.1482011126453181
Dune,rsbs,KRR,T1,0.1692615085916793
Dune,rsbs,KRR,T2,0.1413678681796893
Dune,rsbs,KRR,T3,0.12205327508273968
Dune,rsbs,MR,T1,0.17838761706062475
Dune,rsbs,MR,T2,0.15011315561757468
Dune,rsbs,MR,T3,0.13638511535632383
Dune,rsbs,RF,T1,0.17535341570292992
Dune,rsbs,RF,T2,0.15018228884872667
Dune,rsbs,RF,T3,0.14183712914440838
Dune,rsbs,SVR,T1,0.17904668133713664
Dune,rsbs,SVR,T2,0.14303299772882438
Dune,rsbs,SVR,T3,0.1256747754625705
Dune,rsbs,kNN,T1,0.17409385704585
Dune,rsbs,kNN,T2,0.1563627736002043
Dune,rsbs,kNN,T3,0.14949625305318465
Dune,sbs,CART,T1,0.2117881547703241
Dune,sbs,CART,T2,0.3104090479973345
Dune,sbs,CART,T3,0.1267792438271565
Dune,sbs,KRR,T1,0.1911323924197969
Dune,sbs,KRR,T2,0.3495417966671067
Dune,sbs,KRR,T3,0.1603400679007149
Dune,sbs,MR,T1,0.1715306649324029
Dune,sbs,MR,T2,0.3006874604549532
Dune,sbs,MR,T3,0.1377098336759118
Dune,sbs,RF,T1,0.181742316703715
Dune,sbs,RF,T2,0.2020264390991431
Dune,sbs,RF,T3,0.1936364075032384
Dune,sbs,SVR,T1,0.1720286278532648
Dune,sbs,SVR,T2,0.172921525279437
Dune,sbs,SVR,T3,0.1598167440118075
Dune,sbs,kNN,T1,0.1762694978865235
Dune,sbs,kNN,T2,0.1841213627009781
Dune,sbs,kNN,T3,0.1563702264340317
Dune,twise,CART,T1,0.175610520480141
Dune,twise,CART,T2,0.1476748563142136
Dune,twise,CART,T3,0.087012382887528
Dune,twise,KRR,T1,0.1532862562266169
Dune,twise,KRR,T2,0.1133102869540229
Dune,twise,KRR,T3,0.0900192840617341
Dune,twise,MR,T1,0.1788081067020408
Dune,twise,MR,T2,0.1495668943670633
Dune,twise,MR,T3,0.0977874090487075
Dune,twise,RF,T1,0.1701665567240319
Dune,twise,RF,T2,0.1349695061870409
Dune,twise,RF,T3,0.0881094652923795
Dune,twise,SVR,T1,0.1655181822503866
Dune,twise,SVR,T2,0.1168951157843463
Dune,twise,SVR,T3,0.0883690921432217
Dune,twise,kNN,T1,0.1747586428636178
Dune,twise,kNN,T2,0.1479543549030088
Dune,twise,kNN,T3,0.1266164952496525
Hippacc,dbs,CART,T1,0.49041527152173836
Hippacc,dbs,CART,T2,0.23674321399683293
Hippacc,dbs,CART,T3,0.10192908321271123
Hippacc,dbs,KRR,T1,0.33843692639552164
Hippacc,dbs,KRR,T2,0.2239492098973672
Hippacc,dbs,KRR,T3,0.0910295150450753
Hippacc,dbs,MR,T1,0.3620734396507808
Hippacc,dbs,MR,T2,0.18477165461694425
Hippacc,dbs,MR,T3,0.12248337651688736
Hippacc,dbs,RF,T1,0.3375507112462467
Hippacc,dbs,RF,T2,0.1947177964667695
Hippacc,dbs,RF,T3,0.09809404619183003
Hippacc,dbs,SVR,T1,0.29776961380583195
Hippacc,dbs,SVR,T2,0.18202497317460112
Hippacc,dbs,SVR,T3,0.113828491403547
Hippacc,dbs,kNN,T1,0.30168100824183497
Hippacc,dbs,kNN,T2,0.29695231819063683
Hippacc,dbs,kNN,T3,0.22282212123502262
Hippacc,ddbs,CART,T1,0.29916979380660214
Hippacc,ddbs,CART,T2,0.14611338403054297
Hippacc,ddbs,CART,T3,0.05667378990818627
Hippacc,ddbs,KRR,T1,0.3075106801413792
Hippacc,ddbs,KRR,T2,0.14592555819236144
Hippacc,ddbs,KRR,T3,0.06842153171090164
Hippacc,ddbs,MR,T1,0.2817188942253097
