system,strategy,technique,size_type,var
Dune,rsbs,RF,T2,6.790363600636855e-05
Dune,rsbs,RF,T3,0.00010359299418302396
Dune,rsbs,SVR,T1,0.00012622762830176025
Dune,rsbs,SVR,T2,6.941111704750254e-05
Dune,rsbs,SVR,T3,6.475869396165956e-05
Dune,rsbs,kNN,T1,0.00010048001383236407
Dune,rsbs,kNN,T2,2.3387661874419274e-05
Dune,rsbs,kNN,T3,2.4920068964302383e-05
Dune,sbs,CART,T1,0.0
Dune,sbs,CART,T2,0.0
Dune,sbs,CART,T3,0.0
Dune,sbs,KRR,T1,0.0
Dune,sbs,KRR,T2,0.0
Dune,sbs,KRR,T3,0.0
Dune,sbs,MR,T1,0.0
Dune,sbs,MR,T2,0.0
Dune,sbs,MR,T3,0.0
Dune,sbs,RF,T1,0.0
Dune,sbs,RF,T2,0.0
Dune,sbs,RF,T3,0.0
Dune,sbs,SVR,T1,0.0
Dune,sbs,SVR,T2,0.0
Dune,sbs,SVR,T3,0.0
Dune,sbs,kNN,T1,0.0
Dune,sbs,kNN,T2,0.0
Dune,sbs,kNN,T3,0.0
Dune,twise,CART,T1,0.0
Dune,twise,CART,T2,0.0
Dune,twise,CART,T3,0.0
Dune,twise,KRR,T1,0.0
Dune,twise,KRR,T2,0.0
Dune,twise,KRR,T3,0.0
Dune,twise,MR,T1,0.0
Dune,twise,MR,T2,0.0
Dune,twise,MR,T3,0.0
Dune,twise,RF,T1,0.0
Dune,twise,RF,T2,0.0
Dune,twise,RF,T3,0.0
Dune,twise,SVR,T1,0.0
Dune,twise,SVR,T2,0.0
Dune,twise,SVR,T3,0.0
Dune,twise,kNN,T1,0.0
Dune,twise,kNN,T2,0.0
Dune,twise,kNN,T3,0.0
Hippacc,dbs,CART,T1,0.21604346880447808
Hippacc,dbs,CART,T2,0.001513435371483915
Hippacc,dbs,CART,T3,0.00019132524576459574
Hippacc,dbs,KRR,T1,0.009584990665526162
Hippacc,dbs,KRR,T2,0.0019342712602074329
Hippacc,dbs,KRR,T3,4.736754969651471e-05
Hippacc,dbs,MR,T1,0.03634395315700746
Hippacc,dbs,MR,T2,0.0004165359375925575
Hippacc,dbs,MR,T3,3.775963003152427e-05
Hippacc,dbs,RF,T1,0.06769761946666084
Hippacc,dbs,RF,T2,0.0003779923516192937
Hippacc,dbs,RF,T3,0.00011429047240607104
