comb1,comb2,p,median_diff_combs,p_holm,p_bh,sig_holm,sig_bh
twise_RF,sbs_SVR,0.013671875,-0.12203393698576068,1.0,0.05940193965517242,False,False
random_CART,rsbs_RF,0.013671875,-0.06927100244168889,1.0,0.05940193965517242,False,False
random_CART,random_SVR,0.013671875,-0.21113552080185566,1.0,0.05940193965517242,False,False
random_CART,twise_SVR,0.013671875,-0.15746877589030855,1.0,0.05940193965517242,False,False
random_RF,dbs_KRR,0.01953125,-0.20014583943928843,1.0,0.07990056818181819,False,False
ddbs_kNN,ddbs_KRR,0.01953125,0.12151993787744234,1.0,0.07990056818181819,False,False
ddbs_CART,ddbs_SVR,0.01953125,-0.12121408858356665,1.0,0.07990056818181819,False,False
twise_SVR,rsbs_CART,0.01953125,0.0836955918263932,1.0,0.07990056818181819,False,False
twise_RF,dbs_KRR,0.01953125,-0.15448272238180738,1.0,0.07990056818181819,False,False
twise_MR,ddbs_KRR,0.01953125,-0.0727561102748581,1.0,0.07990056818181819,False,False
rsbs_CART,rsbs_SVR,0.01953125,-0.17903432764941807,1.0,0.07990056818181819,False,False
random_RF,rsbs_kNN,0.01953125,-0.2664203721773489,1.0,0.07990056818181819,False,False
random_CART,rsbs_MR,0.01953125,-0.03237954473787616,1.0,0.07990056818181819,False,False
twise_KRR,ddbs_MR,0.02734375,0.18087006371900022,1.0,0.10633680555555557,False,False
random_CART,twise_KRR,0.02734375,-0.32244035590257947,1.0,0.10633680555555557,False,False
random_MR,twise_KRR,0.02734375,-0.17027292296450175,1.0,0.10633680555555557,False,False
dbs_KRR,ddbs_CART,0.02734375,0.06951551094572725,1.0,0.10633680555555557,False,False
random_SVR,rsbs_CART,0.02734375,0.1357601413846678,1.0,0.10633680555555557,False,False
sbs_kNN,dbs_RF,0.02734375,0.15383208778737162,1.0,0.10633680555555557,False,False
random_CART,random_RF,0.02734375,-0.06233804469463483,1.0,0.10633680555555557,False,False
ddbs_RF,ddbs_SVR,0.02734375,-0.08230616884814741,1.0,0.10633680555555557,False,False
dbs_KRR,rsbs_RF,0.037109375,0.071904849705137,1.0,0.13134216994382023,False,False
twise_CART,sbs_KRR,0.037109375,-0.20794705335449712,1.0,0.13134216994382023,False,False
random_MR,dbs_MR,0.037109375,-0.07416836738307196,1.0,0.13134216994382023,False,False
twise_SVR,sbs_KRR,0.037109375,-0.1844824855199319,1.0,0.13134216994382023,False,False
twise_CART,sbs_kNN,0.037109375,-0.1558880677614387,1.0,0.13134216994382023,False,False
twise_KRR,rsbs_MR,0.037109375,0.18221255770607925,1.0,0.13134216994382023,False,False
random_CART,twise_CART,0.037109375,-0.028707877806518345,1.0,0.13134216994382023,False,False
dbs_RF,dbs_SVR,0.037109375,-0.1987045407193552,1.0,0.13134216994382023,False,False
random_SVR,dbs_SVR,0.037109375,-0.06078990771020025,1.0,0.13134216994382023,False,False
ddbs_KRR,rsbs_CART,0.037109375,0.13837326510535192,1.0,0.13134216994382023,False,False
dbs_KRR,rsbs_CART,0.037109375,0.0788859803774583,1.0,0.13134216994382023,False,False
twise_kNN,twise_RF,0.037109375,0.1045996237123394,1.0,0.13134216994382023,False,False
random_KRR,ddbs_CART,0.037109375,0.19221190902849727,1.0,0.13134216994382023,False,False
ddbs_KRR,rsbs_RF,0.037109375,0.11469707710426111,1.0,0.13134216994382023,False,False
ddbs_CART,ddbs_RF,0.037109375,-0.05971099103990718,1.0,0.13134216994382023,False,False
random_CART,ddbs_CART,0.037109375,-0.032404992185388996,1.0,0.13134216994382023,False,False
sbs_KRR,sbs_MR,0.048828125,0.11927648208524746,1.0,0.15304337686567165,False,False
sbs_KRR,ddbs_MR,0.048828125,0.19516050643126057,1.0,0.15304337686567165,False,False
dbs_RF,rsbs_MR,0.048828125,0.04587629917427871,1.0,0.15304337686567165,False,False
random_KRR,rsbs_CART,0.048828125,0.17380761234443348,1.0,0.15304337686567165,False,False
dbs_RF,rsbs_CART,0.048828125,0.06657871154084016,1.0,0.15304337686567165,False,False
twise_SVR,dbs_SVR,0.048828125,-0.05854062444315994,1.0,0.15304337686567165,False,False
twise_RF,ddbs_KRR,0.048828125,-0.0647545225225475,1.0,0.15304337686567165,False,False
random_KRR,rsbs_RF,0.048828125,0.12387788393956099,1.0,0.15304337686567165,False,False
