metric,coverage_t,sample_size_source_t,system,coverage,log10_ratio,setting
AP_ALS-PCI,2,3,HSQLDB,0.6637903225806451,-2.181,"(2,3)"
AP_ALS-PCI,2,3,Hipacc,0.8992119770427428,-11.8247,"(2,3)"
AP_ALS-PCI,2,3,HyTeG,0.3797333333333333,-0.6021,"(2,3)"
AP_ALS-PCI,2,3,JavaGC,0.6802865761689291,-6.1524,"(2,3)"
AP_ALS-PCI,2,3,LLVM,0.8249122807017544,0.0,"(2,3)"
AP_ALS-PCI,2,3,PKJab,0.5520224719101123,-1.153,"(2,3)"
AP_ALS-PCI,2,3,Polly,0.6992785087719298,-6.962,"(2,3)"
AP_ALS-PCI,2,3,VP9,0.70409,-7.0078,"(2,3)"
AP_ALS-PCI,2,3,WGet,0.6972502210433245,-0.8062,"(2,3)"
AP_ALS-PCI,2,3,clasp,0.6296016050444253,-6.6934,"(2,3)"
AP_ALS-PCI,2,3,lrzip,0.7701927437641722,-2.7831,"(2,3)"
AP_ALS-PCI,2,3,x264,0.559251282051282,-1.454,"(2,3)"
AP_ALS-PCI,2,3,z3,0.6836119711042311,-0.9031,"(2,3)"
AP_ALS-PCI,3,1,7z,0.43756797764912525,-8.1077,"(3,1)"
AP_ALS-PCI,3,1,AJStats,0.1886528985507246,-0.9031,"(3,1)"
AP_ALS-PCI,3,1,BerkeleyDBC,0.290314494425221,-1.7093,"(3,1)"
AP_ALS-PCI,3,1,Curl,0.1932864891518737,-0.727,"(3,1)"
AP_ALS-PCI,3,1,Dune,0.28427445609020163,-5.9694,"(3,1)"
AP_ALS-PCI,3,1,HSMGP,0.2817267308998826,-6.0944,"(3,1)"
AP_ALS-PCI,3,1,HSQLDB,0.21272206303724925,-2.181,"(3,1)"
AP_ALS-PCI,3,1,Hipacc,0.40610819211725036,-11.8247,"(3,1)"
AP_ALS-PCI,3,1,HyTeG,0.1298333333333333,-0.6021,"(3,1)"
AP_ALS-PCI,3,1,JavaGC,0.2801740056198404,-6.1524,"(3,1)"
