system,strategy,sample_size_source_t,sample_size,coverage_t,run,metric,coverage,ratio,constraint_level,setting
7z,distance,1,10,1,2,MDA_MF-DF-ALS,0.7051282051282051,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,1,2,MDP_MF-DF-PCI,0.7051282051282051,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,1,2,MD_MF-DF,0.7051282051282051,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,1,2,PCI,0.6987951807228916,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,2,2,ALS,0.4802357836338419,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,2,AP_ALS-PCI,0.4795138888888889,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,2,Default,0.4600748596381784,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,2,MDAP_MF-DF-ALS-PCI,0.4739843193157519,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,2,MDA_MF-DF-ALS,0.4739843193157519,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,2,MDP_MF-DF-PCI,0.4739843193157519,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,2,MD_MF-DF,0.4739843193157519,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,2,PCI,0.464116345241859,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,3,2,ALS,0.3208105786341044,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,2,AP_ALS-PCI,0.3194174757281553,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,2,Default,0.2957177275200124,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,2,MDAP_MF-DF-ALS-PCI,0.3139206822480843,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,2,MDA_MF-DF-ALS,0.3139206822480843,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,2,MDP_MF-DF-PCI,0.3139206822480843,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,2,MD_MF-DF,0.3139206822480843,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,2,PCI,0.3035866031805981,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,1,1,ALS,0.6075949367088607,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,1,AP_ALS-PCI,0.6075949367088607,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,1,Default,0.6265060240963854,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,1,MDAP_MF-DF-ALS-PCI,0.6025641025641025,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,1,MDA_MF-DF-ALS,0.6025641025641025,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,1,MDP_MF-DF-PCI,0.6025641025641025,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,1,MD_MF-DF,0.6025641025641025,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,1,PCI,0.6265060240963854,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,2,1,ALS,0.377253814147018,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,1,AP_ALS-PCI,0.3763888888888888,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,1,Default,0.3948845913911416,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,1,MDAP_MF-DF-ALS-PCI,0.3709907341411261,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,1,MDA_MF-DF-ALS,0.3709907341411261,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,1,MDP_MF-DF-PCI,0.3709907341411261,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,1,MD_MF-DF,0.3709907341411261,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,1,PCI,0.3970913689535251,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,3,1,ALS,0.2393692090568816,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,1,AP_ALS-PCI,0.2378948990599476,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,1,Default,0.2516385585865651,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,1,MDAP_MF-DF-ALS-PCI,0.2334487512423455,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,1,MDA_MF-DF-ALS,0.2334487512423455,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,1,MDP_MF-DF-PCI,0.2334487512423455,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,1,MD_MF-DF,0.2334487512423455,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,1,PCI,0.2562822881961773,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,1,2,ALS,0.6075949367088607,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,2,AP_ALS-PCI,0.6075949367088607,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,2,Default,0.6265060240963854,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,2,MDAP_MF-DF-ALS-PCI,0.6025641025641025,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,2,MDA_MF-DF-ALS,0.6025641025641025,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,2,MDP_MF-DF-PCI,0.6025641025641025,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,2,MD_MF-DF,0.6025641025641025,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,1,2,PCI,0.6265060240963854,7.8e-09,Very Strong,"(1,1)"
7z,solver,1,10,2,2,ALS,0.377253814147018,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,2,AP_ALS-PCI,0.3763888888888888,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,2,Default,0.3948845913911416,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,2,MDAP_MF-DF-ALS-PCI,0.3709907341411261,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,2,MDA_MF-DF-ALS,0.3709907341411261,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,2,MDP_MF-DF-PCI,0.3709907341411261,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,2,MD_MF-DF,0.3709907341411261,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,2,2,PCI,0.3970913689535251,7.8e-09,Very Strong,"(2,1)"
7z,solver,1,10,3,2,ALS,0.2393692090568816,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,2,AP_ALS-PCI,0.2378948990599476,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,2,Default,0.2516385585865651,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,2,MDAP_MF-DF-ALS-PCI,0.2334487512423455,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,2,MDA_MF-DF-ALS,0.2334487512423455,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,2,MDP_MF-DF-PCI,0.2334487512423455,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,2,MD_MF-DF,0.2334487512423455,7.8e-09,Very Strong,"(3,1)"
7z,solver,1,10,3,2,PCI,0.2562822881961773,7.8e-09,Very Strong,"(3,1)"
7z,random,2,10,1,1,ALS,0.8227848101265823,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,1,AP_ALS-PCI,0.8227848101265823,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,1,Default,0.8313253012048192,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,1,MDAP_MF-DF-ALS-PCI,0.8205128205128204,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,1,MDA_MF-DF-ALS,0.8205128205128204,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,1,MDP_MF-DF-PCI,0.8205128205128204,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,1,MD_MF-DF,0.8205128205128204,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,1,PCI,0.8313253012048192,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,2,1,ALS,0.6345353675450763,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,1,AP_ALS-PCI,0.6340277777777777,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,1,Default,0.6537741734248284,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,1,MDAP_MF-DF-ALS-PCI,0.6293656450463293,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,1,MDA_MF-DF-ALS,0.6293656450463293,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,1,MDP_MF-DF-PCI,0.6293656450463293,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,1,MD_MF-DF,0.6293656450463293,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,1,PCI,0.6534935188112551,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,3,1,ALS,0.4744278087991655,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,1,AP_ALS-PCI,0.4732470334412082,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,1,Default,0.5005181212921945,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,1,MDAP_MF-DF-ALS-PCI,0.4674585617646115,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,1,MDA_MF-DF-ALS,0.4674585617646115,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,1,MDP_MF-DF-PCI,0.4674585617646115,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,1,MD_MF-DF,0.4674585617646115,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,1,PCI,0.501423041126563,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,1,2,ALS,0.8481012658227847,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,2,AP_ALS-PCI,0.8481012658227847,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,2,Default,0.8554216867469879,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,2,MDAP_MF-DF-ALS-PCI,0.8461538461538461,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,2,MDA_MF-DF-ALS,0.8461538461538461,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,2,MDP_MF-DF-PCI,0.8461538461538461,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,2,MD_MF-DF,0.8461538461538461,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,1,2,PCI,0.8554216867469879,7.8e-09,Very Strong,"(1,2)"
7z,random,2,10,2,2,ALS,0.6536061026352288,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,2,AP_ALS-PCI,0.6531249999999998,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,2,Default,0.6734248284466625,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,2,MDAP_MF-DF-ALS-PCI,0.6482537419814682,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,2,MDA_MF-DF-ALS,0.6482537419814682,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,2,MDP_MF-DF-PCI,0.6482537419814682,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,2,MD_MF-DF,0.6482537419814682,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,2,2,PCI,0.6727790072715775,7.8e-09,Very Strong,"(2,2)"
7z,random,2,10,3,2,ALS,0.4850892802356262,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,2,AP_ALS-PCI,0.483942055786716,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,2,Default,0.512525582238802,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,2,MDAP_MF-DF-ALS-PCI,0.4777499919848674,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,2,MDA_MF-DF-ALS,0.4777499919848674,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,2,MDP_MF-DF-PCI,0.4777499919848674,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,2,MD_MF-DF,0.4777499919848674,7.8e-09,Very Strong,"(3,2)"
7z,random,2,10,3,2,PCI,0.513009698261327,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,1,1,ALS,0.6962025316455696,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,1,AP_ALS-PCI,0.6962025316455696,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,1,Default,0.6867469879518072,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,1,MDAP_MF-DF-ALS-PCI,0.6923076923076922,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,1,MDA_MF-DF-ALS,0.6923076923076922,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,1,MDP_MF-DF-PCI,0.6923076923076922,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,1,MD_MF-DF,0.6923076923076922,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,1,PCI,0.6867469879518072,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,2,1,ALS,0.4719140083217753,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,1,AP_ALS-PCI,0.4711805555555555,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,1,Default,0.4516531503431066,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,1,MDAP_MF-DF-ALS-PCI,0.4657875980042765,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,1,MDA_MF-DF-ALS,0.4657875980042765,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,1,MDP_MF-DF-PCI,0.4657875980042765,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,1,MD_MF-DF,0.4657875980042765,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,1,PCI,0.4555801454315523,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,3,1,ALS,0.3175891268331594,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,1,AP_ALS-PCI,0.3162428725535521,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,1,Default,0.2915338980855418,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,1,MDAP_MF-DF-ALS-PCI,0.3109230226667948,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,1,MDA_MF-DF-ALS,0.3109230226667948,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,1,MDP_MF-DF-PCI,0.3109230226667948,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,1,MD_MF-DF,0.3109230226667948,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,1,PCI,0.2993646896961031,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,1,2,ALS,0.7088607594936708,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,2,AP_ALS-PCI,0.7088607594936708,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,2,Default,0.6987951807228916,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,2,MDAP_MF-DF-ALS-PCI,0.7051282051282051,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,2,MDA_MF-DF-ALS,0.7051282051282051,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,2,MDP_MF-DF-PCI,0.7051282051282051,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,2,MD_MF-DF,0.7051282051282051,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,1,2,PCI,0.6987951807228916,7.8e-09,Very Strong,"(1,2)"
7z,distance,2,10,2,2,ALS,0.4802357836338419,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,2,AP_ALS-PCI,0.4795138888888889,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,2,Default,0.4600748596381784,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,2,MDAP_MF-DF-ALS-PCI,0.4739843193157519,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,2,MDA_MF-DF-ALS,0.4739843193157519,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,2,MDP_MF-DF-PCI,0.4739843193157519,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,2,MD_MF-DF,0.4739843193157519,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,2,2,PCI,0.464116345241859,7.8e-09,Very Strong,"(2,2)"
7z,distance,2,10,3,2,ALS,0.3208105786341044,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,2,AP_ALS-PCI,0.3194174757281553,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,2,Default,0.2957177275200124,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,2,MDAP_MF-DF-ALS-PCI,0.3139206822480843,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,2,MDA_MF-DF-ALS,0.3139206822480843,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,2,MDP_MF-DF-PCI,0.3139206822480843,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,2,MD_MF-DF,0.3139206822480843,7.8e-09,Very Strong,"(3,2)"
7z,distance,2,10,3,2,PCI,0.3035866031805981,7.8e-09,Very Strong,"(3,2)"
7z,solver,2,10,1,1,ALS,0.6075949367088607,7.8e-09,Very Strong,"(1,2)"
7z,solver,2,10,1,1,AP_ALS-PCI,0.6075949367088607,7.8e-09,Very Strong,"(1,2)"
7z,solver,2,10,1,1,Default,0.6265060240963854,7.8e-09,Very Strong,"(1,2)"
7z,solver,2,10,1,1,MDAP_MF-DF-ALS-PCI,0.6025641025641025,7.8e-09,Very Strong,"(1,2)"
7z,solver,2,10,1,1,MDA_MF-DF-ALS,0.6025641025641025,7.8e-09,Very Strong,"(1,2)"
7z,solver,2,10,1,1,MDP_MF-DF-PCI,0.6025641025641025,7.8e-09,Very Strong,"(1,2)"
7z,solver,2,10,1,1,MD_MF-DF,0.6025641025641025,7.8e-09,Very Strong,"(1,2)"
7z,solver,2,10,1,1,PCI,0.6265060240963854,7.8e-09,Very Strong,"(1,2)"
7z,solver,2,10,2,1,ALS,0.377253814147018,7.8e-09,Very Strong,"(2,2)"
7z,solver,2,10,2,1,AP_ALS-PCI,0.3763888888888888,7.8e-09,Very Strong,"(2,2)"
7z,solver,2,10,2,1,Default,0.3948845913911416,7.8e-09,Very Strong,"(2,2)"
7z,solver,2,10,2,1,MDAP_MF-DF-ALS-PCI,0.3709907341411261,7.8e-09,Very Strong,"(2,2)"
7z,solver,2,10,2,1,MDA_MF-DF-ALS,0.3709907341411261,7.8e-09,Very Strong,"(2,2)"
7z,solver,2,10,2,1,MDP_MF-DF-PCI,0.3709907341411261,7.8e-09,Very Strong,"(2,2)"
7z,solver,2,10,2,1,MD_MF-DF,0.3709907341411261,7.8e-09,Very Strong,"(2,2)"
