strategy,coverage_t,sample_size_source_t,metric_1,metric_2,rho,rho_abs,rho_strength,p_value,significant,n_systems
random,1,3,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.6598319700491203,0.6598319700491203,Strength.MODERATE,7.28585212403467e-05,True,30
random,1,3,MDAP_MF-DF-ALS-PCI,PCI,0.6286835089056909,0.6286835089056909,Strength.MODERATE,0.00019870212255136113,True,30
random,1,3,MDAP_MF-DF-ALS-PCI,ALS,0.6598319700491203,0.6598319700491203,Strength.MODERATE,7.28585212403467e-05,True,30
random,1,3,MDAP_MF-DF-ALS-PCI,Default,0.6286835089056909,0.6286835089056909,Strength.MODERATE,0.00019870212255136113,True,30
random,1,3,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.6780554440959784,0.6780554440959784,Strength.MODERATE,3.834957449978125e-05,True,30
random,1,3,MDA_MF-DF-ALS,MD_MF-DF,0.6780554440959784,0.6780554440959784,Strength.MODERATE,3.834957449978125e-05,True,30
random,1,3,MDA_MF-DF-ALS,AP_ALS-PCI,0.6598319700491203,0.6598319700491203,Strength.MODERATE,7.28585212403467e-05,True,30
random,1,3,MDA_MF-DF-ALS,PCI,0.6286835089056909,0.6286835089056909,Strength.MODERATE,0.00019870212255136113,True,30
random,1,3,MDA_MF-DF-ALS,ALS,0.6598319700491203,0.6598319700491203,Strength.MODERATE,7.28585212403467e-05,True,30
random,1,3,MDA_MF-DF-ALS,Default,0.6286835089056909,0.6286835089056909,Strength.MODERATE,0.00019870212255136113,True,30
random,1,3,MDP_MF-DF-PCI,MD_MF-DF,0.6837214509628302,0.6837214509628302,Strength.MODERATE,3.112630979725701e-05,True,30
random,1,3,MDP_MF-DF-PCI,AP_ALS-PCI,0.655431147457233,0.655431147457233,Strength.MODERATE,8.453242686303572e-05,True,30
random,1,3,MDP_MF-DF-PCI,PCI,0.6307950886086783,0.6307950886086783,Strength.MODERATE,0.0001862731293678325,True,30
random,1,3,MDP_MF-DF-PCI,ALS,0.655431147457233,0.655431147457233,Strength.MODERATE,8.453242686303572e-05,True,30
random,1,3,MDP_MF-DF-PCI,Default,0.6307950886086783,0.6307950886086783,Strength.MODERATE,0.0001862731293678325,True,30
random,1,3,MD_MF-DF,AP_ALS-PCI,0.655431147457233,0.655431147457233,Strength.MODERATE,8.453242686303572e-05,True,30
random,1,3,MD_MF-DF,PCI,0.6307950886086783,0.6307950886086783,Strength.MODERATE,0.0001862731293678325,True,30
random,1,3,MD_MF-DF,ALS,0.655431147457233,0.655431147457233,Strength.MODERATE,8.453242686303572e-05,True,30
random,1,3,MD_MF-DF,Default,0.6307950886086783,0.6307950886086783,Strength.MODERATE,0.0001862731293678325,True,30
random,1,3,AP_ALS-PCI,PCI,0.6061827956989247,0.6061827956989247,Strength.MODERATE,0.0003845079960728755,True,30
random,1,3,AP_ALS-PCI,ALS,0.6513216845878137,0.6513216845878137,Strength.MODERATE,9.691039288996165e-05,True,30
random,1,3,AP_ALS-PCI,Default,0.6061827956989247,0.6061827956989247,Strength.MODERATE,0.0003845079960728755,True,30
random,1,3,PCI,ALS,0.6061827956989247,0.6061827956989247,Strength.MODERATE,0.0003845079960728755,True,30
random,1,3,PCI,Default,0.6118951612903225,0.6118951612903225,Strength.MODERATE,0.0003267144329167466,True,30
random,1,3,ALS,Default,0.6061827956989247,0.6061827956989247,Strength.MODERATE,0.0003845079960728755,True,30
random,2,1,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.9011392870268283,0.9011392870268283,Strength.STRONG,2.0532613806364706e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.89672914369717,0.89672914369717,Strength.STRONG,3.833511928905799e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.89672914369717,0.89672914369717,Strength.STRONG,3.833511928905799e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.9007717750826902,0.9007717750826902,Strength.STRONG,2.1653146849927894e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,PCI,0.8937890481440646,0.8937890481440646,Strength.STRONG,5.7237777175306725e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,ALS,0.9000367511944138,0.9000367511944138,Strength.STRONG,2.406614910091775e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,Default,0.8915839764792355,0.8915839764792355,Strength.STRONG,7.672684558798684e-12,True,32
random,2,1,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.8952590959206174,0.8952590959206174,Strength.STRONG,4.691189330304498e-12,True,32
random,2,1,MDA_MF-DF-ALS,MD_MF-DF,0.8952590959206174,0.8952590959206174,Strength.STRONG,4.691189330304498e-12,True,32
random,2,1,MDA_MF-DF-ALS,AP_ALS-PCI,0.9011392870268283,0.9011392870268283,Strength.STRONG,2.0532613806364706e-12,True,32
random,2,1,MDA_MF-DF-ALS,PCI,0.8926865123116502,0.8926865123116502,Strength.STRONG,6.632232211365557e-12,True,32
random,2,1,MDA_MF-DF-ALS,ALS,0.9011392870268283,0.9011392870268283,Strength.STRONG,2.0532613806364706e-12,True,32
random,2,1,MDA_MF-DF-ALS,Default,0.8901139287026828,0.8901139287026828,Strength.STRONG,9.295708874781907e-12,True,32
random,2,1,MDP_MF-DF-PCI,MD_MF-DF,0.9018743109151047,0.9018743109151047,Strength.STRONG,1.8450976771480254e-12,True,32
random,2,1,MDP_MF-DF-PCI,AP_ALS-PCI,0.8926865123116502,0.8926865123116502,Strength.STRONG,6.632232211365557e-12,True,32
random,2,1,MDP_MF-DF-PCI,PCI,0.8934215361999265,0.8934215361999265,Strength.STRONG,6.012926354071497e-12,True,32
random,2,1,MDP_MF-DF-PCI,ALS,0.8926865123116502,0.8926865123116502,Strength.STRONG,6.632232211365557e-12,True,32
random,2,1,MDP_MF-DF-PCI,Default,0.8937890481440646,0.8937890481440646,Strength.STRONG,5.7237777175306725e-12,True,32
random,2,1,MD_MF-DF,AP_ALS-PCI,0.8926865123116502,0.8926865123116502,Strength.STRONG,6.632232211365557e-12,True,32
random,2,1,MD_MF-DF,PCI,0.8934215361999265,0.8934215361999265,Strength.STRONG,6.012926354071497e-12,True,32
random,2,1,MD_MF-DF,ALS,0.8926865123116502,0.8926865123116502,Strength.STRONG,6.632232211365557e-12,True,32
random,2,1,MD_MF-DF,Default,0.8937890481440646,0.8937890481440646,Strength.STRONG,5.7237777175306725e-12,True,32
random,2,1,AP_ALS-PCI,PCI,0.8926865123116502,0.8926865123116502,Strength.STRONG,6.632232211365557e-12,True,32
random,2,1,AP_ALS-PCI,ALS,0.9011392870268283,0.9011392870268283,Strength.STRONG,2.0532613806364706e-12,True,32
random,2,1,AP_ALS-PCI,Default,0.8897464167585447,0.8897464167585447,Strength.STRONG,9.748379735446816e-12,True,32
random,2,1,PCI,ALS,0.8926865123116502,0.8926865123116502,Strength.STRONG,6.632232211365557e-12,True,32
random,2,1,PCI,Default,0.9011392870268283,0.9011392870268283,Strength.STRONG,2.0532613806364706e-12,True,32
random,2,1,ALS,Default,0.8901139287026828,0.8901139287026828,Strength.STRONG,9.295708874781907e-12,True,32
random,2,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.6758544652701213,0.6758544652701213,Strength.MODERATE,2.18585701362373e-05,True,32
random,2,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.6832047041528849,0.6832047041528849,Strength.MODERATE,1.638935804469757e-05,True,32
random,2,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.6832047041528849,0.6832047041528849,Strength.MODERATE,1.638935804469757e-05,True,32
random,2,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.6758544652701213,0.6758544652701213,Strength.MODERATE,2.18585701362373e-05,True,32
random,2,2,MDAP_MF-DF-ALS-PCI,PCI,0.6765894891583977,0.6765894891583977,Strength.MODERATE,2.1245798301444393e-05,True,32
random,2,2,MDAP_MF-DF-ALS-PCI,ALS,0.6758544652701213,0.6758544652701213,Strength.MODERATE,2.18585701362373e-05,True,32
random,2,2,MDAP_MF-DF-ALS-PCI,Default,0.6751194413818449,0.6751194413818449,Strength.MODERATE,2.248723493568683e-05,True,32
random,2,2,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.6828371922087467,0.6828371922087467,Strength.MODERATE,1.663025851816587e-05,True,32
random,2,2,MDA_MF-DF-ALS,MD_MF-DF,0.6828371922087467,0.6828371922087467,Strength.MODERATE,1.663025851816587e-05,True,32
random,2,2,MDA_MF-DF-ALS,AP_ALS-PCI,0.6762219772142595,0.6762219772142595,Strength.MODERATE,2.155022008008164e-05,True,32
random,2,2,MDA_MF-DF-ALS,PCI,0.6769570011025358,0.6769570011025358,Strength.MODERATE,2.094526038473192e-05,True,32
random,2,2,MDA_MF-DF-ALS,ALS,0.6762219772142595,0.6762219772142595,Strength.MODERATE,2.155022008008164e-05,True,32
random,2,2,MDA_MF-DF-ALS,Default,0.6754869533259831,0.6754869533259831,Strength.MODERATE,2.2170893323235842e-05,True,32
random,2,2,MDP_MF-DF-PCI,MD_MF-DF,0.7008452774715178,0.7008452774715178,Strength.MODERATE,7.932727802957544e-06,True,32
random,2,2,MDP_MF-DF-PCI,AP_ALS-PCI,0.6828371922087467,0.6828371922087467,Strength.MODERATE,1.663025851816587e-05,True,32
random,2,2,MDP_MF-DF-PCI,PCI,0.6905549430356486,0.6905549430356486,Strength.MODERATE,1.218725020072886e-05,True,32
random,2,2,MDP_MF-DF-PCI,ALS,0.6828371922087467,0.6828371922087467,Strength.MODERATE,1.663025851816587e-05,True,32
random,2,2,MDP_MF-DF-PCI,Default,0.6890848952590959,0.6890848952590959,Strength.MODERATE,1.2939949524315422e-05,True,32
random,2,2,MD_MF-DF,AP_ALS-PCI,0.6828371922087467,0.6828371922087467,Strength.MODERATE,1.663025851816587e-05,True,32
random,2,2,MD_MF-DF,PCI,0.6905549430356486,0.6905549430356486,Strength.MODERATE,1.218725020072886e-05,True,32
random,2,2,MD_MF-DF,ALS,0.6828371922087467,0.6828371922087467,Strength.MODERATE,1.663025851816587e-05,True,32
random,2,2,MD_MF-DF,Default,0.6890848952590959,0.6890848952590959,Strength.MODERATE,1.2939949524315422e-05,True,32
random,2,2,AP_ALS-PCI,PCI,0.6769570011025358,0.6769570011025358,Strength.MODERATE,2.094526038473192e-05,True,32
random,2,2,AP_ALS-PCI,ALS,0.6762219772142595,0.6762219772142595,Strength.MODERATE,2.155022008008164e-05,True,32
random,2,2,AP_ALS-PCI,Default,0.6754869533259831,0.6754869533259831,Strength.MODERATE,2.2170893323235842e-05,True,32
random,2,2,PCI,ALS,0.6769570011025358,0.6769570011025358,Strength.MODERATE,2.094526038473192e-05,True,32
random,2,2,PCI,Default,0.699375229694965,0.699375229694965,Strength.MODERATE,8.443711529781956e-06,True,32
random,2,2,ALS,Default,0.6754869533259831,0.6754869533259831,Strength.MODERATE,2.2170893323235842e-05,True,32
random,2,3,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.6308859629546976,0.6308859629546976,Strength.MODERATE,0.00018575407201937416,True,30
random,2,3,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.605891542066503,0.605891542066503,Strength.MODERATE,0.00038768235024118374,True,30
random,2,3,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.605891542066503,0.605891542066503,Strength.MODERATE,0.00038768235024118374,True,30
random,2,3,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.6295469761214014,0.6295469761214014,Strength.MODERATE,0.00019353347439250753,True,30
random,2,3,MDAP_MF-DF-ALS-PCI,PCI,0.5942869895112698,0.5942869895112698,Strength.WEAK,0.0005345418953879982,True,30
