system,strategy,sample_size_source_t,sample_size,coverage_t,run,metric,coverage
7z,distance,2,10,2,1,AP_ALS-PCI,0.47118055555555555
7z,distance,2,10,2,1,Default,0.45165315034310666
7z,distance,2,10,2,1,MDAP_MF-DF-ALS-PCI,0.46578759800427655
7z,distance,2,10,2,1,MDA_MF-DF-ALS,0.46578759800427655
7z,distance,2,10,2,1,MDP_MF-DF-PCI,0.46578759800427655
7z,distance,2,10,2,1,MD_MF-DF,0.46578759800427655
7z,distance,2,10,2,1,PCI,0.45558014543155234
7z,distance,2,10,3,1,ALS,0.31758912683315949
7z,distance,2,10,3,1,AP_ALS-PCI,0.31624287255355216
7z,distance,2,10,3,1,Default,0.29153389808554181
7z,distance,2,10,3,1,MDAP_MF-DF-ALS-PCI,0.31092302266679489
7z,distance,2,10,3,1,MDA_MF-DF-ALS,0.31092302266679489
7z,distance,2,10,3,1,MDP_MF-DF-PCI,0.31092302266679489
7z,distance,2,10,3,1,MD_MF-DF,0.31092302266679489
7z,distance,2,10,3,1,PCI,0.29936468969610314
7z,distance,2,10,1,2,ALS,0.70886075949367089
7z,distance,2,10,1,2,AP_ALS-PCI,0.70886075949367089
7z,distance,2,10,1,2,Default,0.6987951807228916
7z,distance,2,10,1,2,MDAP_MF-DF-ALS-PCI,0.70512820512820518
7z,distance,2,10,1,2,MDA_MF-DF-ALS,0.70512820512820518
7z,distance,2,10,1,2,MDP_MF-DF-PCI,0.70512820512820518
7z,distance,2,10,1,2,MD_MF-DF,0.70512820512820518
7z,distance,2,10,1,2,PCI,0.6987951807228916
7z,distance,2,10,2,2,ALS,0.4802357836338419
7z,distance,2,10,2,2,AP_ALS-PCI,0.47951388888888891
7z,distance,2,10,2,2,Default,0.4600748596381784
7z,distance,2,10,2,2,MDAP_MF-DF-ALS-PCI,0.47398431931575197
7z,distance,2,10,2,2,MDA_MF-DF-ALS,0.47398431931575197
7z,distance,2,10,2,2,MDP_MF-DF-PCI,0.47398431931575197
7z,distance,2,10,2,2,MD_MF-DF,0.47398431931575197
7z,distance,2,10,2,2,PCI,0.46411634524185902
7z,distance,2,10,3,2,ALS,0.32081057863410445
7z,distance,2,10,3,2,AP_ALS-PCI,0.31941747572815532
7z,distance,2,10,3,2,Default,0.29571772752001241
7z,distance,2,10,3,2,MDAP_MF-DF-ALS-PCI,0.31392068224808439
7z,distance,2,10,3,2,MDA_MF-DF-ALS,0.31392068224808439
7z,distance,2,10,3,2,MDP_MF-DF-PCI,0.31392068224808439
7z,distance,2,10,3,2,MD_MF-DF,0.31392068224808439
7z,distance,2,10,3,2,PCI,0.3035866031805981
7z,solver,2,10,1,1,ALS,0.60759493670886078
7z,solver,2,10,1,1,AP_ALS-PCI,0.60759493670886078
7z,solver,2,10,1,1,Default,0.62650602409638556
7z,solver,2,10,1,1,MDAP_MF-DF-ALS-PCI,0.60256410256410253
7z,solver,2,10,1,1,MDA_MF-DF-ALS,0.60256410256410253
7z,solver,2,10,1,1,MDP_MF-DF-PCI,0.60256410256410253
7z,solver,2,10,1,1,MD_MF-DF,0.60256410256410253
7z,solver,2,10,1,1,PCI,0.62650602409638556
7z,solver,2,10,2,1,ALS,0.37725381414701803
7z,solver,2,10,2,1,AP_ALS-PCI,0.37638888888888888
7z,solver,2,10,2,1,Default,0.39488459139114163
7z,solver,2,10,2,1,MDAP_MF-DF-ALS-PCI,0.37099073414112615
7z,solver,2,10,2,1,MDA_MF-DF-ALS,0.37099073414112615
7z,solver,2,10,2,1,MDP_MF-DF-PCI,0.37099073414112615
7z,solver,2,10,2,1,MD_MF-DF,0.37099073414112615
7z,solver,2,10,2,1,PCI,0.39709136895352515
7z,solver,2,10,3,1,ALS,0.23936920905688164
7z,solver,2,10,3,1,AP_ALS-PCI,0.2378948990599476
7z,solver,2,10,3,1,Default,0.25163855858656514
7z,solver,2,10,3,1,MDAP_MF-DF-ALS-PCI,0.23344875124234554
7z,solver,2,10,3,1,MDA_MF-DF-ALS,0.23344875124234554
7z,solver,2,10,3,1,MDP_MF-DF-PCI,0.23344875124234554
7z,solver,2,10,3,1,MD_MF-DF,0.23344875124234554
7z,solver,2,10,3,1,PCI,0.25628228819617732
7z,solver,2,10,1,2,ALS,0.60759493670886078
7z,solver,2,10,1,2,AP_ALS-PCI,0.60759493670886078
7z,solver,2,10,1,2,Default,0.62650602409638556
7z,solver,2,10,1,2,MDAP_MF-DF-ALS-PCI,0.60256410256410253
7z,solver,2,10,1,2,MDA_MF-DF-ALS,0.60256410256410253
7z,solver,2,10,1,2,MDP_MF-DF-PCI,0.60256410256410253
7z,solver,2,10,1,2,MD_MF-DF,0.60256410256410253
7z,solver,2,10,1,2,PCI,0.62650602409638556
7z,solver,2,10,2,2,ALS,0.37725381414701803
7z,solver,2,10,2,2,AP_ALS-PCI,0.37638888888888888
7z,solver,2,10,2,2,Default,0.39488459139114163
7z,solver,2,10,2,2,MDAP_MF-DF-ALS-PCI,0.37099073414112615
7z,solver,2,10,2,2,MDA_MF-DF-ALS,0.37099073414112615
7z,solver,2,10,2,2,MDP_MF-DF-PCI,0.37099073414112615
7z,solver,2,10,2,2,MD_MF-DF,0.37099073414112615
7z,solver,2,10,2,2,PCI,0.39709136895352515
7z,solver,2,10,3,2,ALS,0.23936920905688164
7z,solver,2,10,3,2,AP_ALS-PCI,0.2378948990599476
7z,solver,2,10,3,2,Default,0.25163855858656514
7z,solver,2,10,3,2,MDAP_MF-DF-ALS-PCI,0.23344875124234554
7z,solver,2,10,3,2,MDA_MF-DF-ALS,0.23344875124234554
7z,solver,2,10,3,2,MDP_MF-DF-PCI,0.23344875124234554
7z,solver,2,10,3,2,MD_MF-DF,0.23344875124234554
7z,solver,2,10,3,2,PCI,0.25628228819617732
BerkeleyDBC,random,1,10,1,1,ALS,0.96969696969696972
BerkeleyDBC,random,1,10,1,1,AP_ALS-PCI,0.96969696969696972
BerkeleyDBC,random,1,10,1,1,Default,0.97142857142857142
BerkeleyDBC,random,1,10,1,1,MDAP_MF-DF-ALS-PCI,0.96875
BerkeleyDBC,random,1,10,1,1,MDA_MF-DF-ALS,0.96875
BerkeleyDBC,random,1,10,1,1,MDP_MF-DF-PCI,0.96875
BerkeleyDBC,random,1,10,1,1,MD_MF-DF,0.96875
BerkeleyDBC,random,1,10,1,1,PCI,0.97142857142857142
BerkeleyDBC,random,1,10,2,1,ALS,0.84879032258064513
BerkeleyDBC,random,1,10,2,1,AP_ALS-PCI,0.84662576687116564
BerkeleyDBC,random,1,10,2,1,Default,0.86323268206039072
BerkeleyDBC,random,1,10,2,1,MDAP_MF-DF-ALS-PCI,0.84051724137931039
BerkeleyDBC,random,1,10,2,1,MDA_MF-DF-ALS,0.84051724137931039
BerkeleyDBC,random,1,10,2,1,MDP_MF-DF-PCI,0.84051724137931039
BerkeleyDBC,random,1,10,2,1,MD_MF-DF,0.84051724137931039
BerkeleyDBC,random,1,10,2,1,PCI,0.86055045871559632
