strategy,coverage_t,sample_size_source_t,metric_1,metric_2,rho,p_value,n_systems
solver,1,2,MDP_MF-DF-PCI,AP_ALS-PCI,0.9743102310937605,9.251744657456419e-14,21
solver,1,2,MDP_MF-DF-PCI,PCI,0.9404890481719477,2.3695249255463867e-10,21
solver,1,2,MDP_MF-DF-PCI,ALS,0.9743102310937605,9.251744657456419e-14,21
solver,1,2,MDP_MF-DF-PCI,Default,0.9404890481719477,2.3695249255463867e-10,21
solver,1,2,MD_MF-DF,AP_ALS-PCI,0.9743102310937605,9.251744657456419e-14,21
solver,1,2,MD_MF-DF,PCI,0.9404890481719477,2.3695249255463867e-10,21
solver,1,2,MD_MF-DF,ALS,0.9743102310937605,9.251744657456419e-14,21
solver,1,2,MD_MF-DF,Default,0.9404890481719477,2.3695249255463867e-10,21
solver,1,2,AP_ALS-PCI,PCI,0.9558441558441559,1.4777197171919923e-11,21
solver,1,2,AP_ALS-PCI,ALS,1.0,0.0,21
solver,1,2,AP_ALS-PCI,Default,0.9558441558441559,1.4777197171919923e-11,21
solver,1,2,PCI,ALS,0.9558441558441559,1.4777197171919923e-11,21
solver,1,2,PCI,Default,1.0,0.0,21
solver,1,2,ALS,Default,0.9558441558441559,1.4777197171919923e-11,21
solver,2,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.9974025974025975,3.551563383611531e-23,21
solver,2,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.9818181818181818,3.57035224156752e-15,21
solver,2,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.9727272727272727,1.6227435836150629e-13,21
solver,2,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.9441558441558441,1.3138768497907042e-10,21
solver,2,2,MDAP_MF-DF-ALS-PCI,PCI,0.8532467532467533,8.8366524232907e-07,21
solver,2,2,MDAP_MF-DF-ALS-PCI,ALS,0.9493506493506494,5.303856440147524e-11,21
solver,2,2,MDAP_MF-DF-ALS-PCI,Default,0.8090909090909091,8.958357547402335e-06,21
solver,2,2,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.9792207792207792,1.2567854031499648e-14,21
solver,2,2,MDA_MF-DF-ALS,MD_MF-DF,0.974025974025974,1.0259942221352304e-13,21
solver,2,2,MDA_MF-DF-ALS,AP_ALS-PCI,0.9467532467532468,8.44287328049144e-11,21
